school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,18,U,NA,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,NA,6,5,6,6
NA,F,17,U,GT3,T,1,NA,at_home,other,course,father,1,2,0,no,yes,no,NA,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,NA,2,3,yes,NA,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10
GP,F,15,U,GT3,T,4,2,health,services,NA,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,NA,0,no,yes,yes,no,yes,yes,no,NA,4,3,2,1,2,5,4,6,10,10
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,NA,4,2,1,2,5,10,15,15,15
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,NA,0,no,no,no,no,yes,yes,yes,no,4,4,4,NA,1,NA,0,12,12,11
GP,F,17,U,GT3,A,4,4,other,teacher,NA,mother,2,2,NA,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,NA,5,6
GP,M,15,U,LE3,A,3,2,NA,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,16,18,19
GP,M,15,U,GT3,T,3,4,other,NA,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,NA,15,15
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12
GP,M,15,NA,NA,T,4,4,health,services,course,NA,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,NA,3,1,3,5,2,14,14,14
GP,M,15,U,GT3,T,4,3,NA,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,10,10,11
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,NA,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16
NA,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,NA,2,2,4,14,NA,14
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,NA,yes,yes,no,3,2,3,1,2,2,NA,13,14,14
GP,F,16,U,GT3,T,3,3,other,other,reputation,NA,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,NA,4,5,16,6,5,5
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,NA,no,no,NA,yes,yes,no,NA,NA,1,1,1,1,0,13,14,15
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,NA,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,NA
GP,M,16,U,LE3,T,4,2,teacher,NA,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,NA,15,15,16
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,NA,13,13,12
GP,F,15,R,GT3,T,2,4,NA,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,NA,1,3,5,14,6,9,8
NA,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,NA,12,11
GP,M,15,U,GT3,T,4,2,NA,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,15,16,15
GP,M,16,U,LE3,A,3,4,services,other,NA,mother,1,2,0,yes,yes,no,yes,yes,yes,NA,no,5,3,3,1,1,NA,4,11,11,11
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,NA,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11
GP,M,15,NA,GT3,T,4,4,health,services,home,mother,1,2,0,NA,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12
GP,M,15,NA,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,NA,yes,yes,yes,4,5,2,1,1,5,0,17,16,16
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,NA,no,NA,yes,no,yes,yes,no,5,3,2,1,1,2,0,8,NA,12
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,NA,no,5,4,3,1,1,5,NA,12,14,15
GP,F,NA,U,NA,T,2,3,NA,other,other,father,2,1,0,no,yes,no,NA,yes,yes,no,no,3,5,1,1,1,5,0,8,NA,6
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,NA,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,NA,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11
GP,F,15,NA,GT3,NA,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,NA,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12
GP,M,15,U,GT3,T,4,4,services,teacher,course,NA,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,NA,1,5,2,19,18,18
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11
GP,F,16,U,NA,T,2,2,other,at_home,NA,NA,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9
GP,F,15,U,LE3,A,4,3,other,other,course,NA,1,NA,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6
GP,F,16,U,LE3,NA,3,3,other,services,home,mother,NA,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11
GP,M,16,U,GT3,T,4,NA,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,NA,4,2,2,1,1,2,4,19,19,20
NA,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,NA,4,NA,3,2,2,5,2,15,15,14
GP,F,15,U,GT3,T,4,4,services,teacher,other,NA,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,NA,2,7,7,7
GP,F,16,NA,LE3,T,2,2,services,services,NA,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,12,13,13
GP,F,15,U,LE3,T,4,2,health,other,NA,mother,1,2,0,no,yes,yes,NA,yes,yes,yes,no,4,3,3,1,1,5,2,11,13,13
GP,M,15,U,LE3,A,NA,NA,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,NA,5,3,4,5,6,11,11,10
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,NA,8,10,NA
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,NA,yes,yes,no,5,3,4,4,4,1,6,10,13,13
GP,F,16,U,GT3,A,2,NA,NA,other,NA,mother,1,2,NA,no,no,yes,yes,NA,yes,yes,yes,5,3,4,1,1,2,8,8,9,10
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,NA,14,15,15
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15
GP,M,15,U,LE3,T,1,2,other,NA,home,father,1,2,0,yes,yes,NA,yes,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,NA,no,4,2,3,1,NA,5,2,15,16,16
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11
GP,F,16,U,GT3,T,1,1,services,services,course,NA,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,NA,8,11
GP,F,16,NA,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9
GP,F,16,U,GT3,T,4,3,teacher,NA,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,NA,4,2,4,2,0,10,10,10
GP,F,16,NA,LE3,NA,4,NA,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,NA
GP,M,15,NA,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,NA,yes,no,yes,yes,yes,1,3,3,5,5,3,4,13,13,12
GP,NA,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,NA,4,3,3,1,2,5,4,7,NA,6
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,8,9,8
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,16,16,16
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,13,15,15
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,10,10,10
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,8,6,5
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,12,12,14
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11
GP,M,15,U,GT3,T,NA,3,teacher,NA,home,mother,NA,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10
GP,M,15,U,GT3,T,4,0,teacher,other,NA,mother,2,4,0,no,no,no,yes,yes,yes,NA,no,3,NA,3,NA,1,1,NA,11,11,10
GP,F,NA,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,11,11,11
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,NA,NA,3,2,8,8,10
GP,F,16,U,GT3,T,NA,4,at_home,other,course,mother,1,2,0,no,NA,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,5,5,5
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,NA,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,10,12,12
GP,M,15,U,GT3,T,2,3,other,other,NA,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,NA,2,1,2,5,4,11,10,11
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10,7,6,6
GP,M,15,U,LE3,T,NA,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,NA,3,1,3,4,4,15,15,15
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,NA,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10
GP,NA,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,NA,yes,yes,yes,4,4,4,2,3,5,6,7,9,8
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,NA,2,4,8,7,6
GP,F,15,U,GT3,T,4,2,other,other,reputation,NA,NA,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,13,14,NA
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,NA,yes,yes,no,NA,4,2,1,NA,3,12,11,10,10
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,NA,0,no,yes,no,no,yes,yes,no,no,NA,1,3,3,5,5,18,8,6,7
NA,F,16,U,GT3,NA,3,3,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,7,7,8
GP,F,15,U,GT3,T,4,3,NA,other,reputation,mother,1,1,0,no,NA,yes,yes,yes,yes,yes,no,NA,5,5,1,3,NA,4,16,17,18
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,7,6,6
NA,F,16,U,GT3,T,4,NA,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,NA,5,3,3,1,1,1,0,11,10,10
GP,NA,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,11,13,14
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10
