school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,NA,NA,2,0,yes,NA,no,no,yes,yes,no,no,4,3,4,1,1,NA,4,0,11,11
NA,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,NA,NA,3,3,1,1,3,2,9,11,11
GP,F,15,U,LE3,T,1,NA,at_home,other,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,6,12,13,12
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,NA,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0,14,14,NA
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,NA,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,0,11,NA,13
GP,M,16,U,LE3,T,NA,3,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,6,12,12,NA
GP,M,16,U,LE3,NA,2,2,other,other,NA,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,NA,4,1,1,3,0,13,12,13
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,NA,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,2,10,13,13
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,NA,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,1,NA,15,16,17
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,12,12,13
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,2,14,14,NA
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0,10,12,13
GP,M,15,U,NA,T,4,4,health,services,course,father,NA,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0,12,13,12
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0,12,NA,13
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,14,15
NA,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,6,17,17,17
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,10,13,13,14
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,2,13,14,14
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,yes,yes,NA,yes,yes,no,5,5,5,2,4,5,2,8,8,7
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,no,yes,NA,yes,NA,no,3,1,3,1,3,5,6,12,12,12
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,12,13,14
GP,M,15,U,GT3,T,4,4,health,health,other,father,NA,1,0,no,yes,yes,no,yes,NA,NA,no,5,4,2,1,1,5,0,11,12,12
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,NA,0,no,no,no,NA,yes,yes,yes,no,NA,5,NA,1,3,5,0,12,13,NA
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,2,10,10,10
GP,F,15,R,GT3,NA,2,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,11,10
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,0,no,yes,NA,no,no,yes,yes,no,1,2,2,1,3,5,6,10,11,12
NA,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,NA,no,no,yes,yes,yes,no,NA,2,2,1,2,5,8,11,12,12
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,11,11,11
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,NA,5,0,10,11,11
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,2,15,15,15
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,13,14,15
GP,M,15,NA,LE3,NA,3,3,other,other,course,mother,1,2,0,no,NA,no,yes,NA,yes,yes,no,5,3,2,1,1,2,0,13,NA,12
GP,M,NA,U,GT3,T,3,2,other,other,home,mother,1,1,0,NA,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,4,12,12,12
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,4,11,11,11
GP,M,15,U,LE3,T,4,3,teacher,NA,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,NA,14,14,14
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,NA,no,yes,yes,yes,yes,NA,2,4,3,1,1,5,4,13,13,13
GP,F,15,R,GT3,T,3,4,services,health,course,mother,NA,3,0,yes,yes,no,yes,NA,yes,yes,no,4,3,2,1,1,5,2,11,12,12
GP,F,15,R,GT3,T,2,2,NA,other,reputation,mother,1,1,0,yes,yes,no,yes,yes,yes,NA,NA,4,3,1,NA,1,NA,8,14,13,12
GP,F,16,U,LE3,T,2,2,other,other,NA,mother,2,2,0,no,yes,no,yes,no,yes,yes,NA,3,3,3,1,2,3,16,11,11,10
GP,M,15,U,LE3,T,NA,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,NA,4,3,2,4,5,8,10,11,11
GP,M,15,U,GT3,T,4,4,services,NA,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,14,15,15
GP,M,15,NA,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,9,10,10
GP,F,16,U,LE3,T,2,2,other,at_home,NA,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,11,11
GP,F,15,U,LE3,NA,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,NA,5,4,10,11,11
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,NA,0,no,yes,no,no,yes,NA,yes,no,2,3,5,1,4,3,6,13,12,13
