"dataset","variable","allowed_range","values_outside_range"
"Math","age","15 to 22",0
"Math","Medu","0 to 4",0
"Math","Fedu","0 to 4",0
"Math","traveltime","1 to 4",0
"Math","studytime","1 to 4",0
"Math","failures","0 to 4",0
"Math","famrel","1 to 5",0
"Math","freetime","1 to 5",0
"Math","goout","1 to 5",0
"Math","Dalc","1 to 5",0
"Math","Walc","1 to 5",0
"Math","health","1 to 5",0
"Math","G1","0 to 20",0
"Math","G2","0 to 20",0
"Math","G3","0 to 20",0
"Portuguese","age","15 to 22",0
"Portuguese","Medu","0 to 4",0
"Portuguese","Fedu","0 to 4",0
"Portuguese","traveltime","1 to 4",0
"Portuguese","studytime","1 to 4",0
"Portuguese","failures","0 to 4",0
"Portuguese","famrel","1 to 5",0
"Portuguese","freetime","1 to 5",0
"Portuguese","goout","1 to 5",0
"Portuguese","Dalc","1 to 5",0
"Portuguese","Walc","1 to 5",0
"Portuguese","health","1 to 5",0
"Portuguese","G1","0 to 20",0
"Portuguese","G2","0 to 20",0
"Portuguese","G3","0 to 20",0
