"dataset","imputation","variable","comparison","difference"
"Math",1,"sex","difference in category proportions",0.147826086956522
"Math",1,"age","standardized difference in mean",0.0528096495601646
"Math",1,"address","difference in category proportions",0.0285537891649946
"Math",1,"famsize","difference in category proportions",0.0584805350711713
"Math",1,"Pstatus","difference in category proportions",0.0644753476611884
"Math",1,"Medu","standardized difference in mean",0.232429823576276
"Math",1,"Fedu","standardized difference in mean",0.150089455386728
"Math",1,"Mjob","difference in category proportions",0.220030869490653
"Math",1,"Fjob","difference in category proportions",0.287600754587549
"Math",1,"guardian","difference in category proportions",0.0794117647058824
"Math",1,"famsup","difference in category proportions",0.0994152046783625
"Math",1,"internet","difference in category proportions",0.36231884057971
"Math",1,"famrel","standardized difference in mean",0.0707967718510071
"Math",1,"activities","difference in category proportions",0.065406976744186
"Math",1,"romantic","difference in category proportions",0.00184246890833717
"Math",1,"freetime","standardized difference in mean",0.278765350040639
"Math",1,"goout","standardized difference in mean",0.114161945889409
"Math",2,"sex","difference in category proportions",0.0521739130434783
"Math",2,"age","standardized difference in mean",0.0871876959405103
"Math",2,"address","difference in category proportions",0.0285537891649946
"Math",2,"famsize","difference in category proportions",0.059166523752358
"Math",2,"Pstatus","difference in category proportions",0.0307627475769069
"Math",2,"Medu","standardized difference in mean",0.00528249599036991
"Math",2,"Fedu","standardized difference in mean",0.0227814351926285
"Math",2,"Mjob","difference in category proportions",0.209226547761962
"Math",2,"Fjob","difference in category proportions",0.235980106328246
"Math",2,"guardian","difference in category proportions",0.176470588235294
"Math",2,"famsup","difference in category proportions",0.0672514619883041
"Math",2,"internet","difference in category proportions",0.295652173913043
"Math",2,"famrel","standardized difference in mean",0.118181541921582
"Math",2,"activities","difference in category proportions",0.00290697674418605
"Math",2,"romantic","difference in category proportions",0.0750806080147397
"Math",2,"freetime","standardized difference in mean",0.0989167371111944
"Math",2,"goout","standardized difference in mean",0.243891429854647
"Math",3,"sex","difference in category proportions",0.081159420289855
"Math",3,"age","standardized difference in mean",0.122808322310501
"Math",3,"address","difference in category proportions",0.081185368112363
"Math",3,"famsize","difference in category proportions",0.176813582575887
"Math",3,"Pstatus","difference in category proportions",0.0168563000421408
"Math",3,"Medu","standardized difference in mean",0.175642991679799
"Math",3,"Fedu","standardized difference in mean",0.138028695578866
"Math",3,"Mjob","difference in category proportions",0.150403018350197
"Math",3,"Fjob","difference in category proportions",0.177156576916481
"Math",3,"guardian","difference in category proportions",0.0941176470588235
"Math",3,"famsup","difference in category proportions",0.0994152046783625
"Math",3,"internet","difference in category proportions",0.0376811594202899
"Math",3,"famrel","standardized difference in mean",0.30715985569417
"Math",3,"activities","difference in category proportions",0.184593023255814
"Math",3,"romantic","difference in category proportions",0.0750806080147397
"Math",3,"freetime","standardized difference in mean",0.0569520607609908
"Math",3,"goout","standardized difference in mean",0.591566446881484
"Math",4,"sex","difference in category proportions",0.147826086956522
"Math",4,"age","standardized difference in mean",0.0178103131849952
"Math",4,"address","difference in category proportions",0.133816947059731
"Math",4,"famsize","difference in category proportions",0.0584805350711713
"Math",4,"Pstatus","difference in category proportions",0.17361989043405
"Math",4,"Medu","standardized difference in mean",0.108291167802583
"Math",4,"Fedu","standardized difference in mean",0.0348421950004903
"Math",4,"Mjob","difference in category proportions",0.131023838106671
"Math",4,"Fjob","difference in category proportions",0.226719259132224
"Math",4,"guardian","difference in category proportions",0.244117647058824
"Math",4,"famsup","difference in category proportions",0.0116959064327485
"Math",4,"internet","difference in category proportions",0.0956521739130435
"Math",4,"famrel","standardized difference in mean",0.448893591023611
"Math",4,"activities","difference in category proportions",0.122093023255814
"Math",4,"romantic","difference in category proportions",0.0750806080147397
"Math",4,"freetime","standardized difference in mean",0.350704795212417
"Math",4,"goout","standardized difference in mean",0.00518917935860961
"Math",5,"sex","difference in category proportions",0.147826086956522
"Math",5,"age","standardized difference in mean",0.157186368690846
"Math",5,"address","difference in category proportions",0.0285537891649946
"Math",5,"famsize","difference in category proportions",0.176127593894701
"Math",5,"Pstatus","difference in category proportions",0.0644753476611884
"Math",5,"Medu","standardized difference in mean",0.118856159783323
"Math",5,"Fedu","standardized difference in mean",0.0227814351926285
"Math",5,"Mjob","difference in category proportions",0.176127593894701
"Math",5,"Fjob","difference in category proportions",0.308866403704339
"Math",5,"guardian","difference in category proportions",0.0441176470588235
"Math",5,"famsup","difference in category proportions",0.0116959064327485
"Math",5,"internet","difference in category proportions",0.0289855072463768
"Math",5,"famrel","standardized difference in mean",0.118041350294154
"Math",5,"activities","difference in category proportions",0.122093023255814
"Math",5,"romantic","difference in category proportions",0.0366190695532013
"Math",5,"freetime","standardized difference in mean",0.194835997340232
"Math",5,"goout","standardized difference in mean",0.243891429854647
"Portuguese",1,"sex","difference in category proportions",0.0310047846889952
"Portuguese",1,"age","standardized difference in mean",0.0874427782668441
"Portuguese",1,"address","difference in category proportions",0.121539721539722
"Portuguese",1,"famsize","difference in category proportions",0.0709051297286591
"Portuguese",1,"Pstatus","difference in category proportions",0.145177262824322
"Portuguese",1,"Medu","standardized difference in mean",0.196752946144987
"Portuguese",1,"Fedu","standardized difference in mean",0.247730205747981
"Portuguese",1,"Mjob","difference in category proportions",0.0705970927202178
"Portuguese",1,"Fjob","difference in category proportions",0.216312056737589
"Portuguese",1,"guardian","difference in category proportions",0.139843316266732
"Portuguese",1,"famsup","difference in category proportions",0.182916506348596
"Portuguese",1,"internet","difference in category proportions",0.0894366197183099
"Portuguese",1,"famrel","standardized difference in mean",0.34796452328145
"Portuguese",1,"activities","difference in category proportions",0.0431805564123126
"Portuguese",1,"romantic","difference in category proportions",0.0129541669236938
"Portuguese",1,"freetime","standardized difference in mean",0.298854846210097
"Portuguese",1,"goout","standardized difference in mean",0.254532589253478
"Portuguese",2,"sex","difference in category proportions",0.0479425837320574
"Portuguese",2,"age","standardized difference in mean",0.0706068512452146
"Portuguese",2,"address","difference in category proportions",0.120884520884521
"Portuguese",2,"famsize","difference in category proportions",0.077243018419489
"Portuguese",2,"Pstatus","difference in category proportions",0.145177262824322
"Portuguese",2,"Medu","standardized difference in mean",0.196752946144987
"Portuguese",2,"Fedu","standardized difference in mean",0.0510955808371728
"Portuguese",2,"Mjob","difference in category proportions",0.130074708982452
"Portuguese",2,"Fjob","difference in category proportions",0.0709219858156029
"Portuguese",2,"guardian","difference in category proportions",0.174326074887422
"Portuguese",2,"famsup","difference in category proportions",0.0779530588687957
"Portuguese",2,"internet","difference in category proportions",0.0894366197183099
"Portuguese",2,"famrel","standardized difference in mean",0.269614895522713
"Portuguese",2,"activities","difference in category proportions",0.0776633150330023
"Portuguese",2,"romantic","difference in category proportions",0.116402442785763
"Portuguese",2,"freetime","standardized difference in mean",0.00319062113391548
"Portuguese",2,"goout","standardized difference in mean",0.0367700521900607
"Portuguese",3,"sex","difference in category proportions",0.0216267942583732
"Portuguese",3,"age","standardized difference in mean",0.0706068512452146
"Portuguese",3,"address","difference in category proportions",0.000327600327600291
"Portuguese",3,"famsize","difference in category proportions",0.077243018419489
"Portuguese",3,"Pstatus","difference in category proportions",0.0711031887502476
"Portuguese",3,"Medu","standardized difference in mean",0.39585487633427
"Portuguese",3,"Fedu","standardized difference in mean",0.132593522633124
"Portuguese",3,"Mjob","difference in category proportions",0.0868709098279956
"Portuguese",3,"Fjob","difference in category proportions",0.075354609929078
"Portuguese",3,"guardian","difference in category proportions",0.0442909135772007
"Portuguese",3,"famsup","difference in category proportions",0.0959599846094652
"Portuguese",3,"internet","difference in category proportions",0.18943661971831
"Portuguese",3,"famrel","standardized difference in mean",0.152090453884607
"Portuguese",3,"activities","difference in category proportions",0.0602677194497563
"Portuguese",3,"romantic","difference in category proportions",0.0129541669236938
"Portuguese",3,"freetime","standardized difference in mean",0.23334075892703
"Portuguese",3,"goout","standardized difference in mean",0.148604356001282
