"dataset","column"
"Math","age"
"Math","Medu"
"Math","Fedu"
"Math","famrel"
"Math","freetime"
"Math","goout"
"Math","alc_score"
"Math","sex_M"
"Math","address_U"
"Math","famsize_LE3"
"Math","Pstatus_T"
"Math","Mjob_health"
"Math","Mjob_other"
"Math","Mjob_services"
"Math","Mjob_teacher"
"Math","Fjob_health"
"Math","Fjob_other"
"Math","Fjob_services"
"Math","Fjob_teacher"
"Math","guardian_mother"
"Math","guardian_other"
"Math","famsup_yes"
"Math","internet_yes"
"Math","activities_yes"
"Math","romantic_yes"
"Portuguese","age"
"Portuguese","Medu"
"Portuguese","Fedu"
"Portuguese","famrel"
"Portuguese","freetime"
"Portuguese","goout"
"Portuguese","alc_score"
"Portuguese","sex_M"
"Portuguese","address_U"
"Portuguese","famsize_LE3"
"Portuguese","Pstatus_T"
"Portuguese","Mjob_health"
"Portuguese","Mjob_other"
"Portuguese","Mjob_services"
"Portuguese","Mjob_teacher"
"Portuguese","Fjob_health"
"Portuguese","Fjob_other"
"Portuguese","Fjob_services"
"Portuguese","Fjob_teacher"
"Portuguese","guardian_mother"
"Portuguese","guardian_other"
"Portuguese","famsup_yes"
"Portuguese","internet_yes"
"Portuguese","activities_yes"
"Portuguese","romantic_yes"
