"dataset","stage","variable","missing_n","missing_pct"
"Math","raw","school",21,5.3
"Math","raw","sex",15,3.8
"Math","raw","age",23,5.8
"Math","raw","address",20,5.1
"Math","raw","famsize",19,4.8
"Math","raw","Pstatus",22,5.6
"Math","raw","Medu",17,4.3
"Math","raw","Fedu",17,4.3
"Math","raw","Mjob",17,4.3
"Math","raw","Fjob",17,4.3
"Math","raw","reason",22,5.6
"Math","raw","guardian",22,5.6
"Math","raw","traveltime",21,5.3
"Math","raw","studytime",28,7.1
"Math","raw","failures",21,5.3
"Math","raw","schoolsup",15,3.8
"Math","raw","famsup",18,4.6
"Math","raw","paid",18,4.6
"Math","raw","activities",16,4.1
"Math","raw","nursery",18,4.6
"Math","raw","higher",14,3.5
"Math","raw","internet",17,4.3
"Math","raw","romantic",28,7.1
"Math","raw","famrel",24,6.1
"Math","raw","freetime",25,6.3
"Math","raw","goout",16,4.1
"Math","raw","Dalc",22,5.6
"Math","raw","Walc",17,4.3
"Math","raw","health",25,6.3
"Math","raw","absences",18,4.6
"Math","raw","G1",20,5.1
"Math","raw","G2",19,4.8
"Math","raw","G3",19,4.8
"Math","after_outcome_filter","school",19,5.3
"Math","after_outcome_filter","sex",15,4.2
"Math","after_outcome_filter","age",22,6.1
"Math","after_outcome_filter","address",19,5.3
"Math","after_outcome_filter","famsize",17,4.7
"Math","after_outcome_filter","Pstatus",21,5.8
"Math","after_outcome_filter","Medu",16,4.4
"Math","after_outcome_filter","Fedu",16,4.4
"Math","after_outcome_filter","Mjob",17,4.7
"Math","after_outcome_filter","Fjob",17,4.7
"Math","after_outcome_filter","reason",20,5.6
"Math","after_outcome_filter","guardian",20,5.6
"Math","after_outcome_filter","traveltime",20,5.6
"Math","after_outcome_filter","studytime",26,7.2
"Math","after_outcome_filter","failures",20,5.6
"Math","after_outcome_filter","schoolsup",14,3.9
"Math","after_outcome_filter","famsup",18,5
"Math","after_outcome_filter","paid",18,5
"Math","after_outcome_filter","activities",16,4.4
"Math","after_outcome_filter","nursery",17,4.7
"Math","after_outcome_filter","higher",12,3.3
"Math","after_outcome_filter","internet",15,4.2
"Math","after_outcome_filter","romantic",26,7.2
"Math","after_outcome_filter","famrel",23,6.4
"Math","after_outcome_filter","freetime",24,6.7
"Math","after_outcome_filter","goout",15,4.2
"Math","after_outcome_filter","Dalc",0,0
"Math","after_outcome_filter","Walc",0,0
"Math","after_outcome_filter","health",21,5.8
"Math","after_outcome_filter","absences",15,4.2
"Math","after_outcome_filter","G1",20,5.6
"Math","after_outcome_filter","G2",15,4.2
"Math","after_outcome_filter","G3",19,5.3
"Portuguese","raw","school",32,4.9
"Portuguese","raw","sex",42,6.5
"Portuguese","raw","age",36,5.5
"Portuguese","raw","address",36,5.5
"Portuguese","raw","famsize",33,5.1
"Portuguese","raw","Pstatus",31,4.8
"Portuguese","raw","Medu",34,5.2
"Portuguese","raw","Fedu",35,5.4
"Portuguese","raw","Mjob",33,5.1
"Portuguese","raw","Fjob",25,3.9
"Portuguese","raw","reason",33,5.1
"Portuguese","raw","guardian",33,5.1
"Portuguese","raw","traveltime",29,4.5
"Portuguese","raw","studytime",41,6.3
"Portuguese","raw","failures",34,5.2
"Portuguese","raw","schoolsup",29,4.5
"Portuguese","raw","famsup",25,3.9
"Portuguese","raw","paid",39,6
"Portuguese","raw","activities",32,4.9
"Portuguese","raw","nursery",38,5.9
"Portuguese","raw","higher",25,3.9
"Portuguese","raw","internet",24,3.7
"Portuguese","raw","romantic",34,5.2
"Portuguese","raw","famrel",32,4.9
"Portuguese","raw","freetime",34,5.2
"Portuguese","raw","goout",34,5.2
"Portuguese","raw","Dalc",27,4.2
"Portuguese","raw","Walc",35,5.4
"Portuguese","raw","health",31,4.8
"Portuguese","raw","absences",27,4.2
"Portuguese","raw","G1",33,5.1
"Portuguese","raw","G2",32,4.9
"Portuguese","raw","G3",32,4.9
"Portuguese","after_outcome_filter","school",32,5.4
"Portuguese","after_outcome_filter","sex",38,6.5
"Portuguese","after_outcome_filter","age",31,5.3
"Portuguese","after_outcome_filter","address",33,5.6
"Portuguese","after_outcome_filter","famsize",27,4.6
"Portuguese","after_outcome_filter","Pstatus",27,4.6
"Portuguese","after_outcome_filter","Medu",31,5.3
"Portuguese","after_outcome_filter","Fedu",34,5.8
"Portuguese","after_outcome_filter","Mjob",31,5.3
"Portuguese","after_outcome_filter","Fjob",24,4.1
"Portuguese","after_outcome_filter","reason",32,5.4
"Portuguese","after_outcome_filter","guardian",29,4.9
"Portuguese","after_outcome_filter","traveltime",28,4.8
"Portuguese","after_outcome_filter","studytime",39,6.6
"Portuguese","after_outcome_filter","failures",31,5.3
"Portuguese","after_outcome_filter","schoolsup",28,4.8
"Portuguese","after_outcome_filter","famsup",23,3.9
"Portuguese","after_outcome_filter","paid",37,6.3
"Portuguese","after_outcome_filter","activities",29,4.9
"Portuguese","after_outcome_filter","nursery",36,6.1
"Portuguese","after_outcome_filter","higher",23,3.9
"Portuguese","after_outcome_filter","internet",20,3.4
"Portuguese","after_outcome_filter","romantic",29,4.9
"Portuguese","after_outcome_filter","famrel",27,4.6
"Portuguese","after_outcome_filter","freetime",32,5.4
"Portuguese","after_outcome_filter","goout",32,5.4
"Portuguese","after_outcome_filter","Dalc",0,0
"Portuguese","after_outcome_filter","Walc",0,0
"Portuguese","after_outcome_filter","health",26,4.4
"Portuguese","after_outcome_filter","absences",24,4.1
"Portuguese","after_outcome_filter","G1",32,5.4
"Portuguese","after_outcome_filter","G2",32,5.4
"Portuguese","after_outcome_filter","G3",30,5.1
